Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
Q8EQ73	reviewed	SP2AB_OCEIH	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB OB1840	Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	146		10.1093/nar/gkf526	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	oih:OB1840;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q8RAA8	reviewed	SP2AB_CALS4	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB TTE1316	Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Thermoanaerobacter tengcongensis)	143		10.1101/gr.219302	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	tte:TTE1316;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q8XIR5	reviewed	SP2AB_CLOPE	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB CPE2049	Clostridium perfringens (strain 13 / Type A)	140		10.1073/pnas.022493799	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;	cd16942;	IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	cpe:CPE2049;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	93001413;
Q92349	reviewed	MUG79_SCHPO	Meiotically up-regulated gene 79 protein	mug79 SPAC6G9.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1318		10.1038/nature724; 10.1016/j.cub.2005.10.038; 10.1038/nbt1222	4.0	Meiosis;Nucleus;Reference proteome;Sporulation	KW-0469; KW-0539; KW-1185; KW-0749	PF00169;PF01369;	cd00821;	IPR011993;IPR001849;IPR000904;IPR035999;				spo:2541456;			ascospore-type prospore membrane formation [GO:0032120]; ascospore-type prospore-specific spindle pole body remodeling [GO:0031322]; regulation of ARF protein signal transduction [GO:0032012]; spore membrane bending pathway [GO:0070583]	cytoplasm [GO:0005737]; meiotic spindle pole body [GO:0035974]; mitotic spindle [GO:0072686]; nuclear envelope [GO:0005635]; nuclear periphery [GO:0034399]; guanyl-nucleotide exchange factor activity [GO:0005085]; phosphatidylinositol-3-phosphate binding [GO:0032266]; ascospore-type prospore membrane formation [GO:0032120]; ascospore-type prospore-specific spindle pole body remodeling [GO:0031322]; regulation of ARF protein signal transduction [GO:0032012]; spore membrane bending pathway [GO:0070583]	2541456;
Q96UP5	reviewed	UBC2_EMENI	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (UV sensitivity protein J) (Ubiquitin carrier protein ubc2) (Ubiquitin-protein ligase ubc2)	uvsJ ubc2 AN5344	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	151		10.1038/nature04341; 10.1016/j.fgb.2008.12.003	4.0	ATP-binding;Chromatin regulator;Cytoplasm;DNA damage;DNA repair;Nucleotide-binding;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation;Transferase;Ubl conjugation pathway	KW-0067; KW-0156; KW-0963; KW-0227; KW-0234; KW-0547; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805; KW-0808; KW-0833	PF00179;	cd00195;	IPR050113;IPR000608;IPR023313;IPR016135;		Ubiquitin-conjugating enzyme family	PTHR24067;				chromatin organization [GO:0006325]; DNA repair [GO:0006281]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; HULC complex [GO:0033503]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; chromatin organization [GO:0006325]; DNA repair [GO:0006281]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q97GQ9	reviewed	SP2AB_CLOAB	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB CA_C2307	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)	143		10.1128/jb.183.16.4823-4838.2001	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	cac:CA_C2307;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	44998783;
Q97L63	reviewed	SPLB_CLOAB	Spore photoproduct lyase (EC 4.1.99.14)	splB CA_C0699	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)	336		10.1128/jb.183.16.4823-4838.2001; 10.1021/ja807375c; 10.1007/s00775-010-0656-8	4.0	4Fe-4S;DNA damage;DNA repair;DNA-binding;Iron;Iron-sulfur;Lyase;Metal-binding;Reference proteome;S-adenosyl-L-methionine;Sporulation	KW-0004; KW-0227; KW-0234; KW-0238; KW-0408; KW-0411; KW-0456; KW-0479; KW-1185; KW-0949; KW-0749	PF20903;		IPR007197;IPR049539;IPR034559;IPR023897;	TIGR04070;	Radical SAM superfamily, SPL family	PTHR37822:SF2;PTHR37822;	cac:CA_C0699;			DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA photolyase activity [GO:0003913]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]; DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q9HFW7	reviewed	GPA3_NEUCR	Guanine nucleotide-binding protein alpha-3 subunit (GP3-alpha)	gna-3 NCU05206	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	356		10.1128/mcb.20.20.7693-7705.2000; 10.1038/nature01554	4.0	Conidiation;GTP-binding;Lipoprotein;Magnesium;Metal-binding;Myristate;Nucleotide-binding;Palmitate;Reference proteome;Sporulation;Transducer	KW-0183; KW-0342; KW-0449; KW-0460; KW-0479; KW-0519; KW-0547; KW-0564; KW-1185; KW-0749; KW-0807	PF00503;	cd00066;	IPR002975;IPR001019;IPR011025;IPR027417;		G-alpha family, G(q) subfamily	PTHR10218;PTHR10218:SF369;	ncr:NCU05206;			adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; conidium formation [GO:0048315]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; heterotrimeric G-protein complex [GO:0005834]; G protein-coupled receptor binding [GO:0001664]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; conidium formation [GO:0048315]; sporulation resulting in formation of a cellular spore [GO:0030435]	3878344;
Q9K2S2	reviewed	MRPA_BACSU	Na(+)/H(+) antiporter subunit A (Mrp complex subunit A) (Multiple resistance and pH homeostasis protein A)	mrpA ntrA shaA yufT BSU31600	Bacillus subtilis (strain 168)	801		10.1099/00221287-143-8-2769; 10.1038/36786; 10.1016/s0005-2728(98)00157-1; 10.1128/jb.181.8.2394-2402.1999; 10.1128/jb.182.4.898-904.2000; 10.1016/s0014-5793(01)02417-6; 10.1128/jb.00021-07; 10.1128/jb.00968-07	4.0	Antiport;Cell membrane;Hydrogen ion transport;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Sporulation;Transmembrane;Transmembrane helix;Transport	KW-0050; KW-1003; KW-0375; KW-0406; KW-0472; KW-1185; KW-0915; KW-0739; KW-0749; KW-0812; KW-1133; KW-0813	PF13244;PF20501;PF00361;PF00662;		IPR050616;IPR005663;IPR025383;IPR046806;IPR001750;IPR001516;	TIGR00940;	CPA3 antiporters (TC 2.A.63) subunit A family	PTHR43373;PTHR43373:SF1;	bsu:BSU31600;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sodium:proton antiporter activity [GO:0015385]; sporulation resulting in formation of a cellular spore [GO:0030435]	938828;
Q9KCN2	reviewed	SP2AB_HALH5	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BH1537	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	146		10.1093/nar/28.21.4317	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	bha:BH1537;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	87597160;
Q9P896	reviewed	TCSA_EMENI	Two-component system protein A (EC 2.7.13.3)	tcsA AN5296	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	682		10.1007/s002940000123; 10.1038/nature04341; 10.1016/j.fgb.2008.12.003	4.0	ATP-binding;Conidiation;Cytoplasm;Kinase;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Sporulation;Transferase;Two-component regulatory system	KW-0067; KW-0183; KW-0963; KW-0418; KW-0547; KW-0597; KW-1185; KW-0677; KW-0749; KW-0808; KW-0902	PF02518;PF00512;PF13426;PF00072;	cd16922;cd00082;cd00130;cd17546;	IPR011006;IPR036890;IPR003594;IPR005467;IPR003661;IPR036097;IPR001610;IPR000014;IPR000700;IPR035965;IPR004358;IPR001789;	TIGR00229;		PTHR45339;PTHR45339:SF1;	ani:ANIA_05296;			ascospore formation [GO:0030437]; conidium formation [GO:0048315]; phosphorelay signal transduction system [GO:0000160]; regulation of conidium formation [GO:0075306]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphorelay response regulator activity [GO:0000156]; phosphorelay sensor kinase activity [GO:0000155]; protein histidine kinase activity [GO:0004673]; ascospore formation [GO:0030437]; conidium formation [GO:0048315]; phosphorelay signal transduction system [GO:0000160]; regulation of conidium formation [GO:0075306]	2871585;
Q9RNV1	reviewed	FTSK_SPOUR	DNA translocase FtsK (DNA translocase SpoIIIE)	ftsK spoIIIE	Sporosarcina ureae	780		10.1046/j.1365-2958.2000.01731.x	4.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Sporulation;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-0749; KW-0812; KW-1133	PF17854;PF09397;PF01580;	cd01127;	IPR003593;IPR050206;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;				cell division [GO:0051301]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q9UT81	reviewed	UBX3_SCHPO	UBX domain-containing protein 3 (Meiotically up-regulated gene 39 protein)	ubx3 mug39 SPAC343.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	410		10.1038/nature724; 10.1016/j.cub.2004.04.029; 10.1016/j.cub.2005.10.038; 10.1021/pr7006335	4.0	Meiosis;Phosphoprotein;Reference proteome;Sporulation;Ubl conjugation pathway	KW-0469; KW-0597; KW-1185; KW-0749; KW-0833	PF08059;PF00789;	cd14348;cd01770;	IPR036241;IPR012989;IPR009060;IPR029071;IPR001012;			PTHR23333:SF20;PTHR23333;	spo:2543170;			autophagosome assembly [GO:0000045]; Golgi organization [GO:0007030]; meiotic cell cycle [GO:0051321]; membrane fusion [GO:0061025]; nuclear membrane reassembly [GO:0031468]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytosol [GO:0005829]; nucleus [GO:0005634]; ubiquitin binding [GO:0043130]; autophagosome assembly [GO:0000045]; Golgi organization [GO:0007030]; meiotic cell cycle [GO:0051321]; membrane fusion [GO:0061025]; nuclear membrane reassembly [GO:0031468]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; sporulation resulting in formation of a cellular spore [GO:0030435]	2543170;
